RAPORT STATISTICI SI SCORURI
Obiect: PCB1 | Algoritm: PatchCore
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/pcb1/test/Anomaly
------------------------------------------------------------
NR. IMAGINI: 100
MIN SCOR:    -0.1308245805
MAX SCOR:    7.5959106617
MEDIE SCOR:  2.3103818135
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
000.JPG -> 1.8193037711
001.JPG -> 2.5926243795
002.JPG -> 2.6216054471
003.JPG -> 2.7303338667
004.JPG -> 3.0409785426
005.JPG -> 2.5006246716
006.JPG -> 2.1650778138
007.JPG -> 2.9535565203
008.JPG -> 2.9177171306
009.JPG -> 2.2564716830
010.JPG -> 2.4344569546
011.JPG -> 1.9288884997
012.JPG -> 2.1186209049
013.JPG -> 2.5713101327
014.JPG -> 2.9088343509
015.JPG -> 1.5765044644
016.JPG -> 2.4493267620
017.JPG -> 1.7068946496
018.JPG -> 2.7729994671
019.JPG -> 1.7043678242
020.JPG -> 1.9940100925
021.JPG -> 2.5267371038
022.JPG -> 1.3058515638
023.JPG -> 2.2711295539
024.JPG -> 2.2298062179
025.JPG -> 1.4220120327
026.JPG -> 2.7137557227
027.JPG -> 1.5036304200
028.JPG -> 1.7314921282
029.JPG -> 1.4481387366
030.JPG -> 2.0420254839
031.JPG -> 1.8640666152
032.JPG -> 1.8704168607
033.JPG -> 1.3873486407
034.JPG -> 2.8947537751
035.JPG -> 1.5812327178
036.JPG -> 1.5293325374
037.JPG -> 1.6898012930
038.JPG -> 1.8834748607
039.JPG -> 2.1389418332
040.JPG -> 3.0721596109
041.JPG -> 6.1941383895
042.JPG -> 2.6624485363
043.JPG -> 7.5959106617
044.JPG -> 4.6877522630
045.JPG -> 5.1569268679
046.JPG -> 4.9539916038
047.JPG -> 1.6627818868
048.JPG -> 2.0887842418
049.JPG -> 1.5803000545
050.JPG -> 5.0576421105
051.JPG -> 3.8929775438
052.JPG -> 2.4402434633
053.JPG -> 3.0208003324
054.JPG -> 4.0469490542
055.JPG -> 2.8509728321
056.JPG -> 3.4591413878
057.JPG -> 1.8771874112
058.JPG -> 1.5875965215
059.JPG -> 4.5128868108
060.JPG -> 1.6019789463
061.JPG -> 2.2385491338
062.JPG -> 1.5840535426
063.JPG -> 1.5252329576
064.JPG -> 1.9242765617
065.JPG -> 1.8565439398
066.JPG -> 2.6810925260
067.JPG -> 2.0477648956
068.JPG -> 2.4124976216
069.JPG -> 1.6441714359
070.JPG -> 1.8419795494
071.JPG -> 1.9170464586
072.JPG -> 2.0624406062
073.JPG -> 2.0797194965
074.JPG -> 0.9256025171
075.JPG -> 1.6417545035
076.JPG -> 1.6980347049
077.JPG -> 2.0061083127
078.JPG -> 2.0005665657
079.JPG -> 1.9109466835
080.JPG -> 1.8228724392
081.JPG -> 1.2691451611
082.JPG -> 0.9560371694
083.JPG -> 0.7091282926
084.JPG -> 1.8037439213
085.JPG -> 3.0709736228
086.JPG -> -0.1308245805
087.JPG -> 2.1597001927
088.JPG -> 2.1887725999
089.JPG -> 2.5669358204
090.JPG -> 2.5970393665
091.JPG -> 1.9854940986
092.JPG -> 1.3061962282
093.JPG -> 2.4531302015
094.JPG -> 1.7332711104
095.JPG -> 1.5446804507
096.JPG -> 1.4084652229
097.JPG -> 1.5525841836
098.JPG -> 2.0144801613
099.JPG -> 2.2259471183
------------------------------------------------------------
