RAPORT STATISTICI SI SCORURI
Obiect: CABLU | Algoritm: Autoencoder
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/cablu/test/good
------------------------------------------------------------
NR. IMAGINI: 58
MIN SCOR:    0.0052300016
MAX SCOR:    0.0125692543
MEDIE SCOR:  0.0080751749
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
031.png -> 0.0097115953
020.png -> 0.0071988045
022.png -> 0.0074733449
023.png -> 0.0052300016
024.png -> 0.0068289069
025.png -> 0.0074292212
026.png -> 0.0067954548
027.png -> 0.0107408147
028.png -> 0.0078932000
029.png -> 0.0069117248
030.png -> 0.0082365787
032.png -> 0.0098817488
034.png -> 0.0106511340
035.png -> 0.0077676266
043.png -> 0.0080290549
044.png -> 0.0077685653
045.png -> 0.0068097482
046.png -> 0.0068228506
047.png -> 0.0079288846
048.png -> 0.0069631427
049.png -> 0.0106488857
050.png -> 0.0068467348
051.png -> 0.0119897751
053.png -> 0.0067540007
054.png -> 0.0075712157
055.png -> 0.0103328880
056.png -> 0.0080722198
057.png -> 0.0098999608
021.png -> 0.0090626441
033.png -> 0.0102398163
000.png -> 0.0080094850
001.png -> 0.0058236234
052.png -> 0.0071209553
002.png -> 0.0100654028
003.png -> 0.0061303242
004.png -> 0.0064704674
005.png -> 0.0076472005
006.png -> 0.0059912195
007.png -> 0.0104702115
008.png -> 0.0088281389
009.png -> 0.0063702739
010.png -> 0.0067570298
011.png -> 0.0063250912
012.png -> 0.0060798042
013.png -> 0.0086047528
014.png -> 0.0064316466
015.png -> 0.0060833059
016.png -> 0.0080987243
017.png -> 0.0063124485
018.png -> 0.0068878657
019.png -> 0.0092524625
036.png -> 0.0110985022
037.png -> 0.0077138916
038.png -> 0.0103634633
039.png -> 0.0091898423
040.png -> 0.0069103846
041.png -> 0.0125692543
042.png -> 0.0082638254
------------------------------------------------------------
