RAPORT STATISTICI SI SCORURI
Obiect: CABLU | Algoritm: PaDiM
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/cablu/test/good
------------------------------------------------------------
NR. IMAGINI: 58
MIN SCOR:    24.9871177353
MAX SCOR:    46.6737002201
MEDIE SCOR:  31.5732544496
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
031.png -> 31.7334789310
020.png -> 29.1466326175
022.png -> 39.7738962586
023.png -> 25.6547786424
024.png -> 31.1976952832
025.png -> 26.3368006399
026.png -> 28.6949141054
027.png -> 29.2470529763
028.png -> 32.2145995351
029.png -> 25.2399202609
030.png -> 35.1175502416
032.png -> 32.1329419502
034.png -> 30.9985956301
035.png -> 26.1730228858
043.png -> 39.2845234334
044.png -> 26.8889118315
045.png -> 28.3559055908
046.png -> 26.6947406006
047.png -> 38.4416214402
048.png -> 29.5592866237
049.png -> 35.4257036116
050.png -> 34.0991159245
051.png -> 34.3423761055
053.png -> 29.7586429637
054.png -> 28.7407397219
055.png -> 34.2233290097
056.png -> 33.1551243962
057.png -> 35.0784834521
021.png -> 27.3902435385
033.png -> 28.0377777314
000.png -> 30.9236511706
001.png -> 29.8975465143
052.png -> 28.2713114879
002.png -> 30.6435647216
003.png -> 27.0456233747
004.png -> 27.5509565508
005.png -> 32.5219113050
006.png -> 29.1517263577
007.png -> 39.6333885875
008.png -> 35.2013688528
009.png -> 27.1524812425
010.png -> 26.5382048565
011.png -> 29.8706130292
012.png -> 31.7256761659
013.png -> 35.4133247526
014.png -> 28.1295644940
015.png -> 26.3761807433
016.png -> 44.1303656427
017.png -> 26.6684453111
018.png -> 29.8278693550
019.png -> 33.5549410518
036.png -> 46.3964067500
037.png -> 24.9871177353
038.png -> 30.4548979538
039.png -> 42.8252349890
040.png -> 26.8504041465
041.png -> 46.6737002201
042.png -> 29.6938747836
------------------------------------------------------------
