RAPORT STATISTICI SI SCORURI
Obiect: CABLU | Algoritm: PatchCore
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/cablu/test/good
------------------------------------------------------------
NR. IMAGINI: 58
MIN SCOR:    -1.8640324378
MAX SCOR:    3.4885931032
MEDIE SCOR:  0.0887925651
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
031.png -> 1.1005393334
020.png -> -0.1947691770
022.png -> -0.9562257768
023.png -> -1.6709191553
024.png -> -1.1362450218
025.png -> -1.3775953741
026.png -> -0.8469540476
027.png -> 0.2583594742
028.png -> -0.2717700606
029.png -> -1.4908104166
030.png -> 0.4973214650
032.png -> 1.7669005552
034.png -> 1.0073149318
035.png -> -0.2532308946
043.png -> 0.1133853776
044.png -> -1.7825876359
045.png -> -0.6592998768
046.png -> -0.7826696503
047.png -> 1.1175794810
048.png -> -0.5208392389
049.png -> 1.1234944510
050.png -> 0.0812012289
051.png -> 2.0365840332
053.png -> -0.3462259688
054.png -> -0.3096202751
055.png -> 0.4599690588
056.png -> 0.3553482019
057.png -> 0.8227818515
021.png -> -1.6190603900
033.png -> 0.9578109678
000.png -> 0.3122654064
001.png -> -1.3666240136
052.png -> 2.1874311496
002.png -> 0.6854902242
003.png -> -1.8640324378
004.png -> -0.4945924335
005.png -> 1.5350113583
006.png -> -1.2208920179
007.png -> 3.4885931032
008.png -> 0.0740752981
009.png -> -0.7919881752
010.png -> -0.8310074003
011.png -> 0.1007220282
012.png -> 1.1253682240
013.png -> 0.9685837642
014.png -> -0.4427308716
015.png -> -1.4008972795
016.png -> -0.1777094527
017.png -> -0.9165940796
018.png -> -0.8398812537
019.png -> 1.4518158372
036.png -> 1.0801124111
037.png -> -0.9093730618
038.png -> 1.0350887223
039.png -> 0.5793060254
040.png -> 0.7562321466
041.png -> 2.5038526789
042.png -> 1.0425754242
------------------------------------------------------------
