RAPORT STATISTICI SI SCORURI
Obiect: PCB1 | Algoritm: Autoencoder
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/pcb1/test/Good
------------------------------------------------------------
NR. IMAGINI: 100
MIN SCOR:    0.0014786525
MAX SCOR:    0.0073688338
MEDIE SCOR:  0.0020734644
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
0904.JPG -> 0.0021656509
0905.JPG -> 0.0017902609
0906.JPG -> 0.0024381229
0907.JPG -> 0.0020248890
0908.JPG -> 0.0022722562
0909.JPG -> 0.0022323066
0910.JPG -> 0.0018247096
0911.JPG -> 0.0018046399
0912.JPG -> 0.0039820303
0913.JPG -> 0.0029057439
0914.JPG -> 0.0030161783
0915.JPG -> 0.0025933303
0916.JPG -> 0.0019635318
0917.JPG -> 0.0017140077
0918.JPG -> 0.0020239647
0919.JPG -> 0.0020358600
0920.JPG -> 0.0022990089
0921.JPG -> 0.0018200097
0922.JPG -> 0.0017815981
0923.JPG -> 0.0017056161
0924.JPG -> 0.0020017398
0925.JPG -> 0.0017732823
0926.JPG -> 0.0024994661
0927.JPG -> 0.0022663279
0928.JPG -> 0.0021724973
0929.JPG -> 0.0016036460
0930.JPG -> 0.0016389866
0931.JPG -> 0.0018563482
0932.JPG -> 0.0016621619
0933.JPG -> 0.0018222835
0934.JPG -> 0.0018783821
0935.JPG -> 0.0017134836
0936.JPG -> 0.0020282816
0937.JPG -> 0.0016952351
0938.JPG -> 0.0021544269
0939.JPG -> 0.0016658797
0940.JPG -> 0.0020075482
0941.JPG -> 0.0016610723
0942.JPG -> 0.0020728065
0943.JPG -> 0.0040425872
0944.JPG -> 0.0019152154
0945.JPG -> 0.0021097749
0946.JPG -> 0.0022876512
0947.JPG -> 0.0015953261
0948.JPG -> 0.0017732009
0949.JPG -> 0.0016240869
0950.JPG -> 0.0022003164
0951.JPG -> 0.0019238011
0952.JPG -> 0.0018044118
0953.JPG -> 0.0020291319
0954.JPG -> 0.0018218216
0955.JPG -> 0.0031191930
0956.JPG -> 0.0018864775
0957.JPG -> 0.0017046187
0958.JPG -> 0.0015986239
0959.JPG -> 0.0016922103
0960.JPG -> 0.0020724167
0961.JPG -> 0.0022198544
0962.JPG -> 0.0019069834
0963.JPG -> 0.0020475402
0964.JPG -> 0.0023553374
0965.JPG -> 0.0016861748
0966.JPG -> 0.0021740680
0967.JPG -> 0.0017434880
0968.JPG -> 0.0017541300
0969.JPG -> 0.0020134514
0970.JPG -> 0.0018670363
0971.JPG -> 0.0015159583
0972.JPG -> 0.0017973499
0973.JPG -> 0.0027695149
0974.JPG -> 0.0017832010
0975.JPG -> 0.0021607727
0976.JPG -> 0.0020942192
0977.JPG -> 0.0018305257
0978.JPG -> 0.0016615181
0979.JPG -> 0.0025315541
0980.JPG -> 0.0020518545
0981.JPG -> 0.0019446723
0982.JPG -> 0.0023492088
0983.JPG -> 0.0018482597
0984.JPG -> 0.0016104784
0985.JPG -> 0.0016723670
0986.JPG -> 0.0017115707
0987.JPG -> 0.0016707362
0988.JPG -> 0.0019471084
0989.JPG -> 0.0022447370
0990.JPG -> 0.0018687355
0991.JPG -> 0.0019361891
0992.JPG -> 0.0021636798
0993.JPG -> 0.0020932555
0994.JPG -> 0.0020503970
0995.JPG -> 0.0018710354
0996.JPG -> 0.0027479713
0997.JPG -> 0.0014786525
0998.JPG -> 0.0017404712
0999.JPG -> 0.0018141655
1000.JPG -> 0.0022919097
1001.JPG -> 0.0016160732
1002.JPG -> 0.0015729651
1003.JPG -> 0.0073688338
------------------------------------------------------------
