RAPORT STATISTICI SI SCORURI
Obiect: PCB1 | Algoritm: PaDiM
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/pcb1/test/Good
------------------------------------------------------------
NR. IMAGINI: 100
MIN SCOR:    13.4155908895
MAX SCOR:    44.0116537952
MEDIE SCOR:  19.9779900144
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
0904.JPG -> 19.8033328751
0905.JPG -> 15.9683190951
0906.JPG -> 17.9322735298
0907.JPG -> 13.9252498513
0908.JPG -> 19.3271818409
0909.JPG -> 16.3732729047
0910.JPG -> 16.7494165325
0911.JPG -> 15.4502272673
0912.JPG -> 25.8576628412
0913.JPG -> 19.8728953965
0914.JPG -> 21.2985694051
0915.JPG -> 19.1385823686
0916.JPG -> 20.9317527566
0917.JPG -> 22.3285507203
0918.JPG -> 16.9180978171
0919.JPG -> 23.5565475004
0920.JPG -> 44.0116537952
0921.JPG -> 17.5725440134
0922.JPG -> 14.8718534967
0923.JPG -> 27.5503411341
0924.JPG -> 18.7446888658
0925.JPG -> 15.9119884315
0926.JPG -> 18.2834081780
0927.JPG -> 28.4473916728
0928.JPG -> 17.0706716032
0929.JPG -> 20.3516062383
0930.JPG -> 18.5815268069
0931.JPG -> 22.8022892571
0932.JPG -> 21.5923272424
0933.JPG -> 15.4892046162
0934.JPG -> 17.4794366675
0935.JPG -> 15.1494234759
0936.JPG -> 16.6255670948
0937.JPG -> 17.7903906425
0938.JPG -> 17.8073903571
0939.JPG -> 20.7949754203
0940.JPG -> 14.9166001922
0941.JPG -> 14.3548308650
0942.JPG -> 22.6048123805
0943.JPG -> 31.3129276136
0944.JPG -> 17.8485334702
0945.JPG -> 35.3851124704
0946.JPG -> 20.9956562655
0947.JPG -> 14.8934000851
0948.JPG -> 21.9226821551
0949.JPG -> 22.4374737924
0950.JPG -> 17.5207538354
0951.JPG -> 21.2931662092
0952.JPG -> 17.2721844484
0953.JPG -> 22.5040386706
0954.JPG -> 19.1453683741
0955.JPG -> 21.6802069092
0956.JPG -> 24.2631593594
0957.JPG -> 16.6410524569
0958.JPG -> 19.9752552974
0959.JPG -> 15.2231691286
0960.JPG -> 27.0439245992
0961.JPG -> 16.8534885683
0962.JPG -> 32.2293782996
0963.JPG -> 20.1380182240
0964.JPG -> 29.2060657366
0965.JPG -> 15.2575799787
0966.JPG -> 16.6173977557
0967.JPG -> 20.8151901590
0968.JPG -> 18.7831826645
0969.JPG -> 19.4715610062
0970.JPG -> 17.7158675498
0971.JPG -> 18.0488137187
0972.JPG -> 18.5202822755
0973.JPG -> 23.4851539643
0974.JPG -> 19.1116537006
0975.JPG -> 16.8748989459
0976.JPG -> 15.2048506500
0977.JPG -> 14.6834752605
0978.JPG -> 17.7628625681
0979.JPG -> 18.4161436550
0980.JPG -> 16.4207246997
0981.JPG -> 19.1903170996
0982.JPG -> 19.9930530067
0983.JPG -> 19.8378530566
0984.JPG -> 19.4714581538
0985.JPG -> 19.7091746613
0986.JPG -> 23.2279907003
0987.JPG -> 23.2691221002
0988.JPG -> 20.8832830923
0989.JPG -> 21.6407498777
0990.JPG -> 17.8965797254
0991.JPG -> 20.3142549489
0992.JPG -> 16.0448660482
0993.JPG -> 19.3070820613
0994.JPG -> 14.4662771316
0995.JPG -> 17.2488671614
0996.JPG -> 22.2608445042
0997.JPG -> 13.4155908895
0998.JPG -> 15.0673333444
0999.JPG -> 21.2034607836
1000.JPG -> 23.2330201665
1001.JPG -> 18.4140719210
1002.JPG -> 17.5547972501
1003.JPG -> 36.9374440850
------------------------------------------------------------
