RAPORT STATISTICI SI SCORURI
Obiect: PCB1 | Algoritm: PatchCore
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/pcb1/test/Good
------------------------------------------------------------
NR. IMAGINI: 100
MIN SCOR:    -1.1825855071
MAX SCOR:    0.9896415924
MEDIE SCOR:  -0.4690599206
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
0904.JPG -> -0.3806984274
0905.JPG -> -0.9282246006
0906.JPG -> 0.1673986184
0907.JPG -> -0.4368066534
0908.JPG -> -0.0207089402
0909.JPG -> -0.3635465563
0910.JPG -> -0.2094701481
0911.JPG -> -0.6808033656
0912.JPG -> 0.1028350538
0913.JPG -> -0.2642468135
0914.JPG -> 0.1253502742
0915.JPG -> 0.7191756526
0916.JPG -> 0.1671053326
0917.JPG -> -0.8643589278
0918.JPG -> -0.4072968150
0919.JPG -> -0.1467034054
0920.JPG -> -0.2859164286
0921.JPG -> -0.4600768529
0922.JPG -> -0.5778992750
0923.JPG -> -0.9029042544
0924.JPG -> -0.6626353411
0925.JPG -> -0.5241202098
0926.JPG -> -0.4367638379
0927.JPG -> 0.5928871880
0928.JPG -> -0.0304123494
0929.JPG -> -0.4718946320
0930.JPG -> -0.4509186272
0931.JPG -> -0.1480934805
0932.JPG -> -0.6937857250
0933.JPG -> -0.6480609603
0934.JPG -> -0.3803673212
0935.JPG -> -0.9701466393
0936.JPG -> -0.8265015030
0937.JPG -> -0.9566619119
0938.JPG -> -0.0505320450
0939.JPG -> -0.5849010290
0940.JPG -> -0.6316340976
0941.JPG -> -0.9335023189
0942.JPG -> -0.0096868150
0943.JPG -> -0.1894903163
0944.JPG -> -0.7490711806
0945.JPG -> -0.4246948749
0946.JPG -> -0.0543633146
0947.JPG -> -0.7688883138
0948.JPG -> -0.4304442769
0949.JPG -> -0.6729595743
0950.JPG -> -0.0083709534
0951.JPG -> -0.8021323734
0952.JPG -> -1.1825855071
0953.JPG -> -0.3860696262
0954.JPG -> -0.9921801858
0955.JPG -> 0.0672090277
0956.JPG -> 0.0457220918
0957.JPG -> -0.5474532053
0958.JPG -> -0.9485854900
0959.JPG -> -0.7038894587
0960.JPG -> -0.4796449428
0961.JPG -> -0.4465757129
0962.JPG -> -0.1628384094
0963.JPG -> -0.8387074755
0964.JPG -> -0.2716688725
0965.JPG -> -1.0763204034
0966.JPG -> -0.3258661020
0967.JPG -> -0.7804099526
0968.JPG -> -0.8894016872
0969.JPG -> -0.7764352512
0970.JPG -> -0.8268211917
0971.JPG -> -1.0423591849
0972.JPG -> -0.0771703937
0973.JPG -> -0.1533740532
0974.JPG -> -0.7511848369
0975.JPG -> -0.0864064008
0976.JPG -> -0.8350438997
0977.JPG -> -0.3101806602
0978.JPG -> -0.8277795443
0979.JPG -> -0.3045818260
0980.JPG -> -0.6354075664
0981.JPG -> -0.7560286920
0982.JPG -> -0.6264462917
0983.JPG -> -0.5049988278
0984.JPG -> -0.5623465612
0985.JPG -> -0.7305042588
0986.JPG -> -0.4225155683
0987.JPG -> -1.0096567407
0988.JPG -> -0.2674886570
0989.JPG -> -0.2202946086
0990.JPG -> -0.9178996537
0991.JPG -> -0.5516833722
0992.JPG -> -0.0987294022
0993.JPG -> -0.1558159613
0994.JPG -> -0.8204395482
0995.JPG -> -0.9545154304
0996.JPG -> 0.1400252712
0997.JPG -> -1.0893006220
0998.JPG -> -0.9968827499
0999.JPG -> -0.5336009786
1000.JPG -> -0.2236327869
1001.JPG -> -0.7793759594
1002.JPG -> -0.7015481669
1003.JPG -> 0.9896415924
------------------------------------------------------------
