RAPORT STATISTICI SI SCORURI
Obiect: PCB2 | Algoritm: Autoencoder
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/pcb2/test/Anomaly
------------------------------------------------------------
NR. IMAGINI: 100
MIN SCOR:    0.0015199272
MAX SCOR:    0.0156192137
MEDIE SCOR:  0.0042740384
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
001.JPG -> 0.0035533288
098.JPG -> 0.0028545791
089.JPG -> 0.0021188296
010.JPG -> 0.0024243582
045.JPG -> 0.0033683348
081.JPG -> 0.0041694762
009.JPG -> 0.0023702513
063.JPG -> 0.0034204191
027.JPG -> 0.0034731810
054.JPG -> 0.0084589198
090.JPG -> 0.0020718006
018.JPG -> 0.0129053202
072.JPG -> 0.0029146287
036.JPG -> 0.0029979632
041.JPG -> 0.0130380346
005.JPG -> 0.0015199272
023.JPG -> 0.0052397680
050.JPG -> 0.0022119663
014.JPG -> 0.0028117802
032.JPG -> 0.0030831001
049.JPG -> 0.0026701894
085.JPG -> 0.0020187555
067.JPG -> 0.0046000080
058.JPG -> 0.0091435872
094.JPG -> 0.0023243874
076.JPG -> 0.0042042322
003.JPG -> 0.0022725184
021.JPG -> 0.0030701379
012.JPG -> 0.0045137135
030.JPG -> 0.0025288190
047.JPG -> 0.0135577135
083.JPG -> 0.0089448830
065.JPG -> 0.0028662849
029.JPG -> 0.0031906287
056.JPG -> 0.0081523899
092.JPG -> 0.0033240556
074.JPG -> 0.0028580222
038.JPG -> 0.0041464483
043.JPG -> 0.0042149364
007.JPG -> 0.0025971632
061.JPG -> 0.0031989194
025.JPG -> 0.0026378080
052.JPG -> 0.0092423130
016.JPG -> 0.0040618828
070.JPG -> 0.0029721479
034.JPG -> 0.0031418670
087.JPG -> 0.0019284710
069.JPG -> 0.0031229693
096.JPG -> 0.0026518102
078.JPG -> 0.0034257907
002.JPG -> 0.0028254832
020.JPG -> 0.0039579077
099.JPG -> 0.0023339507
011.JPG -> 0.0038981463
082.JPG -> 0.0075622723
046.JPG -> 0.0156192137
028.JPG -> 0.0039971988
064.JPG -> 0.0052406560
019.JPG -> 0.0037006438
091.JPG -> 0.0018909350
055.JPG -> 0.0071712374
037.JPG -> 0.0029852586
073.JPG -> 0.0035992186
006.JPG -> 0.0025431863
042.JPG -> 0.0049070641
024.JPG -> 0.0030420488
060.JPG -> 0.0024011065
015.JPG -> 0.0034985626
051.JPG -> 0.0029110522
033.JPG -> 0.0032370142
086.JPG -> 0.0022096646
068.JPG -> 0.0027263677
095.JPG -> 0.0022747454
059.JPG -> 0.0086935069
077.JPG -> 0.0032648048
004.JPG -> 0.0021586535
040.JPG -> 0.0140227284
022.JPG -> 0.0023314212
013.JPG -> 0.0026951786
031.JPG -> 0.0026713496
084.JPG -> 0.0098471865
048.JPG -> 0.0027242424
066.JPG -> 0.0030282629
093.JPG -> 0.0021999187
057.JPG -> 0.0090924120
039.JPG -> 0.0039114365
075.JPG -> 0.0035803448
080.JPG -> 0.0025909874
008.JPG -> 0.0023218519
044.JPG -> 0.0065872418
026.JPG -> 0.0034316115
062.JPG -> 0.0030999638
017.JPG -> 0.0033521843
053.JPG -> 0.0074999123
035.JPG -> 0.0033656694
071.JPG -> 0.0040831426
088.JPG -> 0.0023183906
097.JPG -> 0.0027324117
000.JPG -> 0.0022901581
079.JPG -> 0.0063871127
------------------------------------------------------------
