RAPORT STATISTICI SI SCORURI
Obiect: PCB2 | Algoritm: PaDiM
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/pcb2/test/Anomaly
------------------------------------------------------------
NR. IMAGINI: 100
MIN SCOR:    17.8510816851
MAX SCOR:    60.5425625298
MEDIE SCOR:  32.8861813941
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
001.JPG -> 51.4714121110
098.JPG -> 28.8455779021
089.JPG -> 39.9395881068
010.JPG -> 20.3264623894
045.JPG -> 19.3505717588
081.JPG -> 34.9099559849
009.JPG -> 28.6755839283
063.JPG -> 33.4384265595
027.JPG -> 29.9980842428
054.JPG -> 31.9803052164
090.JPG -> 27.0854850628
018.JPG -> 52.8633232331
072.JPG -> 22.4610881385
036.JPG -> 25.1525217804
041.JPG -> 51.1615909099
005.JPG -> 31.0763672126
023.JPG -> 28.0280535436
050.JPG -> 17.8510816851
014.JPG -> 29.1641861425
032.JPG -> 30.1744190810
049.JPG -> 27.0932180573
085.JPG -> 31.4451696278
067.JPG -> 26.9922523924
058.JPG -> 29.4089476217
094.JPG -> 38.7078649226
076.JPG -> 37.1167293826
003.JPG -> 22.7765830193
021.JPG -> 42.8602157157
012.JPG -> 27.5808177489
030.JPG -> 57.1845124715
047.JPG -> 56.0552954969
083.JPG -> 26.6649791098
065.JPG -> 25.8743776868
029.JPG -> 32.7501394205
056.JPG -> 21.1334171394
092.JPG -> 29.9533350332
074.JPG -> 36.3832131527
038.JPG -> 22.4478784224
043.JPG -> 32.8172020091
007.JPG -> 47.0093912640
061.JPG -> 42.7235945411
025.JPG -> 27.1594216347
052.JPG -> 40.8375707332
016.JPG -> 58.1930278703
070.JPG -> 24.7726251646
034.JPG -> 42.0238344121
087.JPG -> 43.4851955713
069.JPG -> 24.0939909014
096.JPG -> 25.4704076316
078.JPG -> 35.0975530104
002.JPG -> 55.1707691494
020.JPG -> 33.9115965725
099.JPG -> 38.5566235602
011.JPG -> 40.1182445401
082.JPG -> 34.9953904170
046.JPG -> 53.1544205193
028.JPG -> 32.6859457460
064.JPG -> 43.7662121789
019.JPG -> 31.8639554280
091.JPG -> 36.9095215423
055.JPG -> 19.5690940297
037.JPG -> 30.2142315469
073.JPG -> 21.6424848925
006.JPG -> 33.4812743605
042.JPG -> 34.2302052662
024.JPG -> 27.8703616994
060.JPG -> 31.4803029865
015.JPG -> 29.2974470451
051.JPG -> 18.0306588047
033.JPG -> 23.2207119950
086.JPG -> 40.0707443643
068.JPG -> 34.1905558477
095.JPG -> 30.9667910127
059.JPG -> 23.8070242266
077.JPG -> 22.0486168009
004.JPG -> 51.8670026332
040.JPG -> 56.5066391512
022.JPG -> 22.2342478514
013.JPG -> 60.5425625298
031.JPG -> 28.2152391801
084.JPG -> 26.8901018206
048.JPG -> 27.5452968447
066.JPG -> 24.5391474752
093.JPG -> 29.3649764963
057.JPG -> 24.4092496501
039.JPG -> 35.6883102035
075.JPG -> 30.1701339703
080.JPG -> 23.1970140926
008.JPG -> 39.0317867897
044.JPG -> 40.0413991053
026.JPG -> 49.8605187260
062.JPG -> 25.5535365909
017.JPG -> 25.7091314441
053.JPG -> 19.6355955977
035.JPG -> 24.7089132090
071.JPG -> 25.0919240197
088.JPG -> 27.6259766528
097.JPG -> 23.1519385923
000.JPG -> 24.1445071856
079.JPG -> 31.5729589149
------------------------------------------------------------
