RAPORT STATISTICI SI SCORURI
Obiect: PCB3 | Algoritm: PaDiM
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/pcb3/test/good
------------------------------------------------------------
NR. IMAGINI: 101
MIN SCOR:    14.4556604167
MAX SCOR:    41.9611710423
MEDIE SCOR:  22.8557707641
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
0905.JPG -> 19.0342390466
0906.JPG -> 17.4990200843
0907.JPG -> 17.6798568411
0908.JPG -> 41.9611710423
0909.JPG -> 32.4423550188
0910.JPG -> 22.2160655380
0911.JPG -> 17.7037637114
0912.JPG -> 21.3834153943
0913.JPG -> 22.0748285771
0914.JPG -> 20.6846619930
0915.JPG -> 40.0484145055
0916.JPG -> 25.5033454424
0917.JPG -> 23.9472679923
0918.JPG -> 14.4556604167
0919.JPG -> 18.7702938139
0920.JPG -> 23.1677077135
0921.JPG -> 16.8400466197
0922.JPG -> 20.5746342211
0923.JPG -> 20.6444225176
0924.JPG -> 31.0175702589
0925.JPG -> 19.5810334720
0926.JPG -> 20.9831675659
0927.JPG -> 19.4663740547
0928.JPG -> 16.2799927235
0929.JPG -> 27.8137844623
0930.JPG -> 27.2803114607
0931.JPG -> 26.7325652346
0932.JPG -> 34.5528126566
0933.JPG -> 24.9985428773
0934.JPG -> 32.3779917359
0935.JPG -> 16.8815692649
0936.JPG -> 17.7244388470
0937.JPG -> 23.0037274483
0938.JPG -> 19.8449991870
0939.JPG -> 20.2614952742
0940.JPG -> 32.0597631553
0941.JPG -> 21.0883069991
0942.JPG -> 22.2376080472
0943.JPG -> 20.7112932946
0944.JPG -> 19.7960776970
0945.JPG -> 32.7298062026
0946.JPG -> 26.9667336103
0947.JPG -> 15.8040787666
0948.JPG -> 21.7504516079
0949.JPG -> 22.0611239075
0950.JPG -> 30.6611222872
0951.JPG -> 16.1241268397
0952.JPG -> 15.8355506067
0953.JPG -> 22.5723186991
0954.JPG -> 19.7555609183
0955.JPG -> 20.4348939196
0956.JPG -> 22.6763400641
0957.JPG -> 18.2072667931
0958.JPG -> 33.0698340502
0959.JPG -> 19.6579556490
0960.JPG -> 23.3524950365
0961.JPG -> 18.6039341063
0962.JPG -> 24.0678463302
0963.JPG -> 18.2928543104
0964.JPG -> 36.4736452665
0965.JPG -> 19.7319871142
0966.JPG -> 30.3621315619
0967.JPG -> 22.4052458299
0968.JPG -> 20.6095356372
0969.JPG -> 18.1423333876
0970.JPG -> 25.1104819963
0971.JPG -> 21.0348027109
0972.JPG -> 21.7717126676
0973.JPG -> 21.8322561580
0974.JPG -> 23.5442618326
0975.JPG -> 22.3042506104
0976.JPG -> 16.0857526649
0977.JPG -> 30.6239461888
0978.JPG -> 19.5430239846
0979.JPG -> 18.3338297172
0980.JPG -> 28.4953448416
0981.JPG -> 18.5045185538
0982.JPG -> 25.5090517994
0983.JPG -> 32.3282779836
0984.JPG -> 20.1140161183
0985.JPG -> 19.3959364329
0986.JPG -> 23.2978720322
0987.JPG -> 20.0837365936
0988.JPG -> 28.8968992344
0989.JPG -> 17.5946585186
0990.JPG -> 19.0098442130
0991.JPG -> 23.4082515290
0992.JPG -> 29.5388998789
0993.JPG -> 20.3888774547
0994.JPG -> 17.9822151516
0995.JPG -> 19.2394945591
0996.JPG -> 19.8283878621
0997.JPG -> 16.5491699204
0998.JPG -> 22.3140026999
0999.JPG -> 16.8130250205
1000.JPG -> 21.1231188846
1001.JPG -> 37.8029510204
1002.JPG -> 27.6458362862
1003.JPG -> 18.8808263451
1004.JPG -> 20.2586213619
1005.JPG -> 21.5709256404
------------------------------------------------------------
