RAPORT STATISTICI SI SCORURI
Obiect: PCB4 | Algoritm: Autoencoder
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/pcb4/test/good
------------------------------------------------------------
NR. IMAGINI: 100
MIN SCOR:    0.0008483901
MAX SCOR:    0.0041041598
MEDIE SCOR:  0.0016666146
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
0909.JPG -> 0.0015731100
0910.JPG -> 0.0014271971
0911.JPG -> 0.0013502818
0912.JPG -> 0.0009551902
0913.JPG -> 0.0015899207
0914.JPG -> 0.0012495113
0915.JPG -> 0.0012293698
0916.JPG -> 0.0009929617
0917.JPG -> 0.0008483901
0918.JPG -> 0.0020571803
0919.JPG -> 0.0009988545
0920.JPG -> 0.0009982027
0921.JPG -> 0.0025067562
0922.JPG -> 0.0020744479
0923.JPG -> 0.0018901089
0924.JPG -> 0.0016745387
0925.JPG -> 0.0017317175
0926.JPG -> 0.0011967503
0927.JPG -> 0.0009741149
0928.JPG -> 0.0009820185
0929.JPG -> 0.0014397358
0930.JPG -> 0.0011406521
0931.JPG -> 0.0011736946
0932.JPG -> 0.0021472513
0933.JPG -> 0.0010841822
0934.JPG -> 0.0020208552
0935.JPG -> 0.0011034608
0936.JPG -> 0.0014205890
0937.JPG -> 0.0011762786
0938.JPG -> 0.0015163406
0939.JPG -> 0.0032608341
0940.JPG -> 0.0010432997
0941.JPG -> 0.0009848513
0942.JPG -> 0.0021692987
0943.JPG -> 0.0011559421
0944.JPG -> 0.0008587254
0945.JPG -> 0.0020509104
0946.JPG -> 0.0013163509
0947.JPG -> 0.0009489827
0948.JPG -> 0.0015105422
0949.JPG -> 0.0009484299
0950.JPG -> 0.0010716477
0951.JPG -> 0.0009431260
0952.JPG -> 0.0017571028
0953.JPG -> 0.0032984510
0954.JPG -> 0.0015716109
0955.JPG -> 0.0023121941
0956.JPG -> 0.0011254575
0957.JPG -> 0.0023567160
0958.JPG -> 0.0020830957
0959.JPG -> 0.0019802814
0960.JPG -> 0.0011863748
0961.JPG -> 0.0024830622
0962.JPG -> 0.0020980677
0963.JPG -> 0.0025452836
0964.JPG -> 0.0011843836
0965.JPG -> 0.0015973388
0966.JPG -> 0.0011395813
0967.JPG -> 0.0010476108
0968.JPG -> 0.0009199567
0969.JPG -> 0.0013948297
0970.JPG -> 0.0018771751
0971.JPG -> 0.0010555831
0972.JPG -> 0.0017551898
0973.JPG -> 0.0013730321
0974.JPG -> 0.0036704964
0975.JPG -> 0.0010766245
0976.JPG -> 0.0030617171
0977.JPG -> 0.0019293990
0978.JPG -> 0.0014272663
0979.JPG -> 0.0019723075
0980.JPG -> 0.0018081454
0981.JPG -> 0.0020707047
0982.JPG -> 0.0010885398
0983.JPG -> 0.0011324330
0984.JPG -> 0.0024627708
0985.JPG -> 0.0034969468
0986.JPG -> 0.0025027685
0987.JPG -> 0.0010182210
0988.JPG -> 0.0019003672
0989.JPG -> 0.0019694087
0990.JPG -> 0.0026514712
0991.JPG -> 0.0009817653
0992.JPG -> 0.0020981224
0993.JPG -> 0.0014078942
0994.JPG -> 0.0011862381
0995.JPG -> 0.0021679760
0996.JPG -> 0.0034677489
0997.JPG -> 0.0021622102
0998.JPG -> 0.0012721526
0999.JPG -> 0.0010801101
1000.JPG -> 0.0012274411
1001.JPG -> 0.0018594230
1002.JPG -> 0.0041041598
1003.JPG -> 0.0023845495
1004.JPG -> 0.0018753475
0905.JPG -> 0.0015230682
0906.JPG -> 0.0010669969
0907.JPG -> 0.0017707285
0908.JPG -> 0.0008569520
------------------------------------------------------------
