RAPORT STATISTICI SI SCORURI
Obiect: PCB4 | Algoritm: PatchCore
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/pcb4/test/Anomaly
------------------------------------------------------------
NR. IMAGINI: 100
MIN SCOR:    1.1577750128
MAX SCOR:    6.6767096689
MEDIE SCOR:  3.4857516844
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
001.JPG -> 3.3492806898
098.JPG -> 2.7411686332
089.JPG -> 5.2877975644
010.JPG -> 4.8252671153
045.JPG -> 3.9624247906
081.JPG -> 3.4112842801
009.JPG -> 3.0309216003
063.JPG -> 4.3887341901
027.JPG -> 4.0074642611
054.JPG -> 3.5249907879
090.JPG -> 2.3177805350
018.JPG -> 1.8365095270
072.JPG -> 1.6896627080
036.JPG -> 2.8369317682
041.JPG -> 3.7980542787
005.JPG -> 3.3399448693
023.JPG -> 2.4171335789
050.JPG -> 4.0262562514
014.JPG -> 2.8897209161
032.JPG -> 3.3382435199
049.JPG -> 5.1629983408
085.JPG -> 3.0715935198
067.JPG -> 2.5010098979
058.JPG -> 1.7683804617
094.JPG -> 4.4549860107
076.JPG -> 5.2250204464
003.JPG -> 2.1162837816
021.JPG -> 2.6182929425
012.JPG -> 4.5493337547
030.JPG -> 2.5525595500
047.JPG -> 3.6272425033
083.JPG -> 2.4388262979
065.JPG -> 5.4629254595
029.JPG -> 3.3912281070
056.JPG -> 3.7460139714
092.JPG -> 3.1960872410
074.JPG -> 3.1665337530
038.JPG -> 2.4065232893
043.JPG -> 5.8462516143
007.JPG -> 1.1577750128
061.JPG -> 2.7259408362
025.JPG -> 2.0868917880
052.JPG -> 4.8541242228
016.JPG -> 3.4172276880
070.JPG -> 2.6356170818
034.JPG -> 5.1338902483
087.JPG -> 4.6278036092
069.JPG -> 1.9839930661
096.JPG -> 1.8170149843
078.JPG -> 4.4828391780
002.JPG -> 6.6767096689
020.JPG -> 1.3409303146
099.JPG -> 5.8302976064
011.JPG -> 3.7122410546
082.JPG -> 2.5832692150
046.JPG -> 2.3473988265
028.JPG -> 1.3270356184
064.JPG -> 1.8693875381
019.JPG -> 3.2032351714
091.JPG -> 2.2260105308
055.JPG -> 3.1712037205
037.JPG -> 5.0189226436
073.JPG -> 5.2518676163
006.JPG -> 2.8266197805
042.JPG -> 4.0935881306
024.JPG -> 3.5280951848
060.JPG -> 3.6740357832
015.JPG -> 2.7178959429
051.JPG -> 3.5953828330
033.JPG -> 4.1409060104
086.JPG -> 2.7985835176
068.JPG -> 5.3916806825
095.JPG -> 2.1559486750
059.JPG -> 2.8926926200
077.JPG -> 2.8678481873
004.JPG -> 1.6175219967
040.JPG -> 6.2227991158
022.JPG -> 2.6760801900
013.JPG -> 3.2388215580
031.JPG -> 2.4681452589
084.JPG -> 3.9970617543
048.JPG -> 2.3802902099
066.JPG -> 3.1589177972
093.JPG -> 4.0644553511
057.JPG -> 3.9144208165
039.JPG -> 3.8678373765
075.JPG -> 4.0278372514
080.JPG -> 3.1318895889
008.JPG -> 2.0573588725
044.JPG -> 3.2164067427
026.JPG -> 4.3488697430
062.JPG -> 4.7926740339
017.JPG -> 4.0844055756
053.JPG -> 5.5999797475
035.JPG -> 5.8475003677
071.JPG -> 3.3944178799
088.JPG -> 5.2807432390
097.JPG -> 2.5578796099
000.JPG -> 4.8623676411
079.JPG -> 3.2799193291
------------------------------------------------------------
