RAPORT STATISTICI SI SCORURI
Obiect: PCB4 | Algoritm: PatchCore
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/pcb4/test/good
------------------------------------------------------------
NR. IMAGINI: 100
MIN SCOR:    -1.5519736195
MAX SCOR:    3.8099421232
MEDIE SCOR:  0.8332381221
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
0909.JPG -> 1.4973598246
0910.JPG -> 0.8368566989
0911.JPG -> 0.9491807318
0912.JPG -> -0.6782566480
0913.JPG -> 1.8680729526
0914.JPG -> 0.1496401249
0915.JPG -> -0.3177042995
0916.JPG -> -0.7719357843
0917.JPG -> -1.5519736195
0918.JPG -> 1.5459727460
0919.JPG -> -1.0481561320
0920.JPG -> -0.7912040290
0921.JPG -> 0.5939782733
0922.JPG -> 2.6196229575
0923.JPG -> 1.3453256387
0924.JPG -> 1.3172780608
0925.JPG -> 3.6004148773
0926.JPG -> 0.3947033546
0927.JPG -> -0.9015551549
0928.JPG -> -1.0169331820
0929.JPG -> 0.5714657384
0930.JPG -> -0.3049554940
0931.JPG -> -0.9432289573
0932.JPG -> 1.9514431871
0933.JPG -> -1.0204510870
0934.JPG -> 2.5490591317
0935.JPG -> -1.3009032069
0936.JPG -> 1.0847836268
0937.JPG -> 1.0638202045
0938.JPG -> 0.3935842082
0939.JPG -> 3.0637656668
0940.JPG -> -0.9156884926
0941.JPG -> -0.1938843290
0942.JPG -> 1.1996565979
0943.JPG -> -0.0930418330
0944.JPG -> -0.8962350950
0945.JPG -> 0.6389735128
0946.JPG -> 0.1292373044
0947.JPG -> -0.9403817172
0948.JPG -> 1.0922473457
0949.JPG -> -0.7733789483
0950.JPG -> 1.1647192751
0951.JPG -> -0.0697135967
0952.JPG -> 2.3731628520
0953.JPG -> 2.3009491081
0954.JPG -> 1.3933162406
0955.JPG -> 2.5743582176
0956.JPG -> -0.0184622465
0957.JPG -> 1.2362098940
0958.JPG -> 2.6339455626
0959.JPG -> 1.6765446254
0960.JPG -> 0.0490434707
0961.JPG -> 1.8495442908
0962.JPG -> 1.0650504426
0963.JPG -> 2.3856143842
0964.JPG -> 0.1762939128
0965.JPG -> 1.5775155990
0966.JPG -> -0.6466304762
0967.JPG -> -0.6224711092
0968.JPG -> 0.0292454830
0969.JPG -> 0.9044591070
0970.JPG -> 2.0734712889
0971.JPG -> -1.0564088080
0972.JPG -> 0.6970055735
0973.JPG -> 0.8365151947
0974.JPG -> 3.8099421232
0975.JPG -> -0.2091903018
0976.JPG -> 2.6314223401
0977.JPG -> 1.0446486507
0978.JPG -> 0.5473917474
0979.JPG -> 1.4800531719
0980.JPG -> 2.6914365654
0981.JPG -> 2.5355841154
0982.JPG -> -0.5443911044
0983.JPG -> -0.0884788427
0984.JPG -> 1.0402934432
0985.JPG -> 2.5387286287
0986.JPG -> 3.1435439351
0987.JPG -> -1.1945760706
0988.JPG -> 1.7999757747
0989.JPG -> 1.4670225226
0990.JPG -> 2.5760359086
0991.JPG -> -0.8252073583
0992.JPG -> 1.4244404424
0993.JPG -> 0.4231778128
0994.JPG -> -0.2091985308
0995.JPG -> 1.9091398649
0996.JPG -> 3.0112038455
0997.JPG -> 2.3685648884
0998.JPG -> 0.4563932136
0999.JPG -> -0.3959571137
1000.JPG -> -0.5830880596
1001.JPG -> 1.8027828984
1002.JPG -> 3.1079410905
1003.JPG -> 1.0770236632
1004.JPG -> 0.3923313403
0905.JPG -> 1.4902900698
0906.JPG -> 0.3944935147
0907.JPG -> 1.6684122987
0908.JPG -> -0.0382273181
------------------------------------------------------------
