RAPORT STATISTICI SI SCORURI
Obiect: PIULITA | Algoritm: Autoencoder
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/piulita/test/good
------------------------------------------------------------
NR. IMAGINI: 22
MIN SCOR:    0.0012700965
MAX SCOR:    0.0084862355
MEDIE SCOR:  0.0025954028
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
000.png -> 0.0026656396
001.png -> 0.0016988575
002.png -> 0.0016083606
003.png -> 0.0016520520
004.png -> 0.0017907133
005.png -> 0.0025274418
006.png -> 0.0027456223
007.png -> 0.0035842983
008.png -> 0.0030989083
009.png -> 0.0031674444
010.png -> 0.0032464815
011.png -> 0.0028676256
012.png -> 0.0022291674
013.png -> 0.0037918806
014.png -> 0.0026559008
015.png -> 0.0021114047
016.png -> 0.0084862355
017.png -> 0.0014831191
018.png -> 0.0013809428
019.png -> 0.0016402769
020.png -> 0.0013963922
021.png -> 0.0012700965
------------------------------------------------------------
