RAPORT STATISTICI SI SCORURI
Obiect: PIULITA | Algoritm: PaDiM
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/piulita/test/Anomaly
------------------------------------------------------------
NR. IMAGINI: 93
MIN SCOR:    24.2828893309
MAX SCOR:    78.8815943260
MEDIE SCOR:  41.0584991992
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
scratch (1).png -> 27.1004210434
scratch (2).png -> 32.3423961218
scratch (3).png -> 41.2812767780
scratch (4).png -> 32.5696257847
scratch (5).png -> 34.4866413136
scratch (6).png -> 36.1986233257
scratch (7).png -> 32.8435052930
scratch (8).png -> 45.8901373795
scratch (9).png -> 41.4045374202
scratch (10).png -> 31.6249051799
scratch (11).png -> 37.0094845424
scratch (12).png -> 35.1773092653
scratch (13).png -> 37.9614958516
scratch (14).png -> 34.8470362266
scratch (15).png -> 30.3679397988
scratch (16).png -> 46.2224419697
scratch (17).png -> 32.0362112337
scratch (18).png -> 31.3716509499
scratch (19).png -> 41.2904389064
scratch (20).png -> 31.1400997229
scratch (21).png -> 26.7125838702
scratch (22).png -> 29.2941743699
scratch (23).png -> 24.2828893309
flip (1).png -> 45.0439985286
flip (2).png -> 45.3640280835
flip (3).png -> 48.2739292574
flip (4).png -> 44.2282159578
flip (5).png -> 42.5308441510
flip (6).png -> 47.4978525329
flip (7).png -> 46.0029053772
flip (8).png -> 43.5573547183
flip (9).png -> 47.2209893829
flip (10).png -> 45.4280215492
flip (11).png -> 45.1347900664
flip (12).png -> 46.5408962624
flip (13).png -> 42.9966398609
flip (14).png -> 42.3239678449
flip (15).png -> 51.5771692096
flip (16).png -> 42.2471761529
flip (17).png -> 46.7398205211
flip (18).png -> 45.2025592604
flip (19).png -> 43.0388221180
flip (20).png -> 46.3479774005
flip (21).png -> 45.6865600796
flip (22).png -> 48.1166880028
flip (23).png -> 42.0416947515
color (1).png -> 37.4899382466
color (2).png -> 43.1027732814
color (3).png -> 39.4987083451
color (4).png -> 44.2132915536
color (5).png -> 35.7568583958
color (6).png -> 36.8634281458
color (7).png -> 48.5246223131
color (8).png -> 44.3270881769
color (9).png -> 46.2723158220
color (10).png -> 41.3985243098
color (11).png -> 38.0127584691
color (12).png -> 39.8744290769
color (13).png -> 49.4964800336
color (14).png -> 45.9440408839
color (15).png -> 44.2651503951
color (16).png -> 37.7015189073
color (17).png -> 37.1705520815
color (18).png -> 34.7502586324
color (19).png -> 36.4728998941
color (20).png -> 42.0906324856
color (21).png -> 44.5673753020
color (22).png -> 36.6174304097
bent (1).png -> 59.9602273388
bent (2).png -> 37.5758708654
bent (3).png -> 44.7443480909
bent (4).png -> 34.3623020466
bent (5).png -> 34.8616409533
bent (6).png -> 40.0306530872
bent (7).png -> 35.2051676574
bent (8).png -> 40.2645418905
bent (9).png -> 47.9568403541
bent (10).png -> 45.9036474884
bent (11).png -> 34.6515160567
bent (12).png -> 78.8815943260
bent (13).png -> 35.0017124479
bent (14).png -> 55.5610281414
bent (15).png -> 40.9819756520
bent (16).png -> 37.0024783177
bent (17).png -> 37.1768208542
bent (18).png -> 36.7717607351
bent (19).png -> 50.9856946334
bent (20).png -> 54.9826324242
bent (21).png -> 34.3526064303
bent (22).png -> 36.8960693639
bent (23).png -> 31.6568298457
bent (24).png -> 48.5915931985
bent (25).png -> 43.0710714183
------------------------------------------------------------
