RAPORT STATISTICI SI SCORURI
Obiect: PIULITA | Algoritm: PaDiM
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/piulita/test/good
------------------------------------------------------------
NR. IMAGINI: 22
MIN SCOR:    20.6001948079
MAX SCOR:    42.8326405988
MEDIE SCOR:  26.3754035916
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
000.png -> 25.4682032658
001.png -> 21.7438015512
002.png -> 22.8218410083
003.png -> 31.5968141415
004.png -> 20.6001948079
005.png -> 28.1214083599
006.png -> 42.8326405988
007.png -> 27.5713628902
008.png -> 34.0907045486
009.png -> 24.7927408620
010.png -> 27.9646043632
011.png -> 29.5107911910
012.png -> 28.7583728333
013.png -> 27.2650588980
014.png -> 21.9356300362
015.png -> 23.2341619348
016.png -> 28.3013960803
017.png -> 24.3249691273
018.png -> 21.4613608868
019.png -> 24.0587118850
020.png -> 22.5897209192
021.png -> 21.2143888269
------------------------------------------------------------
