RAPORT STATISTICI SI SCORURI
Obiect: PIULITA | Algoritm: PatchCore
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/piulita/test/good
------------------------------------------------------------
NR. IMAGINI: 22
MIN SCOR:    -1.3696349148
MAX SCOR:    2.3690944997
MEDIE SCOR:  0.3485180332
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
000.png -> -0.8339684967
001.png -> -1.3696349148
002.png -> 0.5339283673
003.png -> -0.8810210467
004.png -> -0.7786993884
005.png -> 0.7526901626
006.png -> 1.4600359771
007.png -> 2.3690944997
008.png -> 1.7326965498
009.png -> 1.6025883798
010.png -> 1.4038551238
011.png -> 0.8043177183
012.png -> 2.0554026923
013.png -> 1.3289943539
014.png -> 1.2854531073
015.png -> -0.3514573498
016.png -> 1.8092614144
017.png -> -1.0501877176
018.png -> -1.0831597785
019.png -> -1.1359541506
020.png -> -0.8797646840
021.png -> -1.1070740878
------------------------------------------------------------
