RAPORT STATISTICI SI SCORURI
Obiect: SURUB | Algoritm: Autoencoder
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/surub/test/Anomaly
------------------------------------------------------------
NR. IMAGINI: 119
MIN SCOR:    0.0003757288
MAX SCOR:    0.0017491881
MEDIE SCOR:  0.0008147631
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
manipulate_front (1).png -> 0.0011388550
manipulate_front (2).png -> 0.0009649326
manipulate_front (3).png -> 0.0013778963
manipulate_front (4).png -> 0.0009196957
manipulate_front (5).png -> 0.0017020603
manipulate_front (6).png -> 0.0015965219
manipulate_front (7).png -> 0.0011676428
manipulate_front (8).png -> 0.0008615604
manipulate_front (9).png -> 0.0007043480
manipulate_front (10).png -> 0.0013106773
manipulate_front (11).png -> 0.0005467990
manipulate_front (12).png -> 0.0013125585
manipulate_front (13).png -> 0.0011625343
manipulate_front (14).png -> 0.0010383363
manipulate_front (15).png -> 0.0012290434
manipulate_front (16).png -> 0.0013399947
manipulate_front (17).png -> 0.0008148556
manipulate_front (18).png -> 0.0009912511
manipulate_front (19).png -> 0.0017491881
manipulate_front (20).png -> 0.0010269564
manipulate_front (21).png -> 0.0007542988
manipulate_front (22).png -> 0.0009485524
manipulate_front (23).png -> 0.0011381647
manipulate_front (24).png -> 0.0012495153
scratch_head (1).png -> 0.0006185242
scratch_head (2).png -> 0.0005563899
scratch_head (3).png -> 0.0004260468
scratch_head (4).png -> 0.0005728581
scratch_head (5).png -> 0.0006010592
scratch_head (6).png -> 0.0007087941
scratch_head (7).png -> 0.0006348238
scratch_head (8).png -> 0.0014915054
scratch_head (9).png -> 0.0007041533
scratch_head (10).png -> 0.0006111207
scratch_head (11).png -> 0.0007438433
scratch_head (12).png -> 0.0009698867
scratch_head (13).png -> 0.0006229483
scratch_head (14).png -> 0.0010575643
scratch_head (15).png -> 0.0005866290
scratch_head (16).png -> 0.0015146646
scratch_head (17).png -> 0.0006688013
scratch_head (18).png -> 0.0013835890
scratch_head (19).png -> 0.0007039106
scratch_head (20).png -> 0.0009273862
scratch_head (21).png -> 0.0005689038
scratch_head (22).png -> 0.0007184252
scratch_head (23).png -> 0.0006754337
scratch_head (24).png -> 0.0006216940
scratch_neck (1).png -> 0.0004752841
scratch_neck (2).png -> 0.0004877385
scratch_neck (3).png -> 0.0005423269
scratch_neck (4).png -> 0.0004861098
scratch_neck (5).png -> 0.0006197413
scratch_neck (6).png -> 0.0005418591
scratch_neck (7).png -> 0.0009995905
scratch_neck (8).png -> 0.0005417257
scratch_neck (9).png -> 0.0011260625
scratch_neck (10).png -> 0.0006848703
scratch_neck (11).png -> 0.0003757288
scratch_neck (12).png -> 0.0005645120
scratch_neck (13).png -> 0.0005167852
scratch_neck (14).png -> 0.0007386134
scratch_neck (15).png -> 0.0006924208
scratch_neck (16).png -> 0.0005063881
scratch_neck (17).png -> 0.0004525354
scratch_neck (18).png -> 0.0006104326
scratch_neck (19).png -> 0.0005048209
scratch_neck (20).png -> 0.0004757797
scratch_neck (21).png -> 0.0005634800
scratch_neck (22).png -> 0.0004725709
scratch_neck (23).png -> 0.0004125690
scratch_neck (24).png -> 0.0005515458
scratch_neck (25).png -> 0.0007474140
thread_side (1).png -> 0.0004912676
thread_side (2).png -> 0.0005951726
thread_side (3).png -> 0.0011262067
thread_side (4).png -> 0.0008652008
thread_side (5).png -> 0.0007705378
thread_side (6).png -> 0.0005266349
thread_side (7).png -> 0.0004894048
thread_side (8).png -> 0.0005809077
thread_side (9).png -> 0.0004242469
thread_side (10).png -> 0.0005146413
thread_side (11).png -> 0.0011822979
thread_side (12).png -> 0.0011269314
thread_side (13).png -> 0.0005199047
thread_side (14).png -> 0.0004102556
thread_side (15).png -> 0.0006445471
thread_side (16).png -> 0.0007404573
thread_side (17).png -> 0.0004906851
thread_side (18).png -> 0.0008415568
thread_side (19).png -> 0.0010151808
thread_side (20).png -> 0.0003828237
thread_side (21).png -> 0.0009053072
thread_side (22).png -> 0.0007136439
thread_side (23).png -> 0.0014676708
thread_top (1).png -> 0.0007152300
thread_top (2).png -> 0.0006289417
thread_top (3).png -> 0.0007681926
thread_top (4).png -> 0.0004659815
thread_top (5).png -> 0.0004347968
thread_top (6).png -> 0.0007606206
thread_top (7).png -> 0.0011214342
thread_top (8).png -> 0.0014940999
thread_top (9).png -> 0.0010421905
thread_top (10).png -> 0.0005554304
thread_top (11).png -> 0.0009906896
thread_top (12).png -> 0.0007423849
thread_top (13).png -> 0.0011958415
thread_top (14).png -> 0.0007835468
thread_top (15).png -> 0.0007862356
thread_top (16).png -> 0.0009537939
thread_top (17).png -> 0.0007280762
thread_top (18).png -> 0.0007421988
thread_top (19).png -> 0.0009731478
thread_top (20).png -> 0.0012099962
thread_top (21).png -> 0.0009516084
thread_top (22).png -> 0.0006551007
thread_top (23).png -> 0.0010056887
------------------------------------------------------------
