RAPORT STATISTICI SI SCORURI
Obiect: SURUB | Algoritm: Autoencoder
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/surub/test/good
------------------------------------------------------------
NR. IMAGINI: 41
MIN SCOR:    0.0004083320
MAX SCOR:    0.0011720245
MEDIE SCOR:  0.0007144829
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
022.png -> 0.0009036091
023.png -> 0.0006995255
024.png -> 0.0009969145
025.png -> 0.0004083320
026.png -> 0.0008596326
027.png -> 0.0005972955
028.png -> 0.0005805466
029.png -> 0.0007512443
030.png -> 0.0007756564
031.png -> 0.0007238725
032.png -> 0.0005379595
033.png -> 0.0005192633
034.png -> 0.0007153497
035.png -> 0.0006061005
036.png -> 0.0006340827
037.png -> 0.0008198346
038.png -> 0.0005503832
039.png -> 0.0009812959
040.png -> 0.0005372306
000.png -> 0.0005464749
001.png -> 0.0011720245
002.png -> 0.0006874552
003.png -> 0.0007582036
004.png -> 0.0004220187
005.png -> 0.0007479078
006.png -> 0.0005597531
007.png -> 0.0006002236
008.png -> 0.0004781794
009.png -> 0.0005873632
010.png -> 0.0007579194
011.png -> 0.0008467444
012.png -> 0.0006276665
013.png -> 0.0010792608
014.png -> 0.0009159208
015.png -> 0.0010172578
016.png -> 0.0006264725
017.png -> 0.0006145925
018.png -> 0.0008360582
019.png -> 0.0009742386
020.png -> 0.0006985948
021.png -> 0.0005413389
------------------------------------------------------------
