RAPORT STATISTICI SI SCORURI
Obiect: SURUB | Algoritm: PaDiM
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/surub/test/Anomaly
------------------------------------------------------------
NR. IMAGINI: 119
MIN SCOR:    24.6491916775
MAX SCOR:    53.3181684743
MEDIE SCOR:  35.6257044708
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
manipulate_front (1).png -> 39.6104983471
manipulate_front (2).png -> 46.3092532119
manipulate_front (3).png -> 34.6111249242
manipulate_front (4).png -> 43.0742519884
manipulate_front (5).png -> 44.2604625851
manipulate_front (6).png -> 53.3181684743
manipulate_front (7).png -> 42.9451967282
manipulate_front (8).png -> 41.1767486470
manipulate_front (9).png -> 36.3157312678
manipulate_front (10).png -> 41.6191506904
manipulate_front (11).png -> 38.5733017592
manipulate_front (12).png -> 35.8906266133
manipulate_front (13).png -> 43.7460470073
manipulate_front (14).png -> 37.9784738367
manipulate_front (15).png -> 38.3408542005
manipulate_front (16).png -> 46.7731489462
manipulate_front (17).png -> 38.8699826677
manipulate_front (18).png -> 39.2293549255
manipulate_front (19).png -> 39.0123209613
manipulate_front (20).png -> 30.1443824554
manipulate_front (21).png -> 35.3964448844
manipulate_front (22).png -> 31.1601335612
manipulate_front (23).png -> 37.6541988551
manipulate_front (24).png -> 43.3333765416
scratch_head (1).png -> 30.8913724399
scratch_head (2).png -> 37.9750786068
scratch_head (3).png -> 35.6678119126
scratch_head (4).png -> 30.0670558070
scratch_head (5).png -> 36.9176529262
scratch_head (6).png -> 32.6748397352
scratch_head (7).png -> 34.6288242693
scratch_head (8).png -> 38.3865598801
scratch_head (9).png -> 33.5389027838
scratch_head (10).png -> 35.5621032387
scratch_head (11).png -> 33.5317430040
scratch_head (12).png -> 41.1265346563
scratch_head (13).png -> 36.5523956328
scratch_head (14).png -> 36.0520707819
scratch_head (15).png -> 32.3209023406
scratch_head (16).png -> 39.9194326940
scratch_head (17).png -> 36.3044572458
scratch_head (18).png -> 38.6298316438
scratch_head (19).png -> 36.9841959810
scratch_head (20).png -> 38.5535081831
scratch_head (21).png -> 31.9596225009
scratch_head (22).png -> 32.6152889771
scratch_head (23).png -> 30.8454088079
scratch_head (24).png -> 36.5227806875
scratch_neck (1).png -> 35.3509199291
scratch_neck (2).png -> 39.3789992934
scratch_neck (3).png -> 26.7989576453
scratch_neck (4).png -> 46.6441133705
scratch_neck (5).png -> 45.9216595700
scratch_neck (6).png -> 32.0062779396
scratch_neck (7).png -> 41.9901473449
scratch_neck (8).png -> 40.8013694848
scratch_neck (9).png -> 47.6928153386
scratch_neck (10).png -> 45.1113766306
scratch_neck (11).png -> 31.2244411224
scratch_neck (12).png -> 33.3653623959
scratch_neck (13).png -> 35.1136129946
scratch_neck (14).png -> 43.1542605997
scratch_neck (15).png -> 42.1588308826
scratch_neck (16).png -> 36.0414092286
scratch_neck (17).png -> 44.0637963040
scratch_neck (18).png -> 32.1572747343
scratch_neck (19).png -> 36.9028067899
scratch_neck (20).png -> 37.9815382319
scratch_neck (21).png -> 37.1715857207
scratch_neck (22).png -> 31.8310267264
scratch_neck (23).png -> 39.7675687700
scratch_neck (24).png -> 33.6513884525
scratch_neck (25).png -> 51.9862482988
thread_side (1).png -> 27.3488903059
thread_side (2).png -> 26.4079557984
thread_side (3).png -> 33.8189349310
thread_side (4).png -> 36.0415941930
thread_side (5).png -> 29.2169853372
thread_side (6).png -> 34.3121195218
thread_side (7).png -> 29.2582156429
thread_side (8).png -> 35.3460318369
thread_side (9).png -> 39.8906483582
thread_side (10).png -> 28.4133116196
thread_side (11).png -> 36.2805529598
thread_side (12).png -> 29.9946753765
thread_side (13).png -> 28.8445431295
thread_side (14).png -> 29.6077707395
thread_side (15).png -> 26.8278509939
thread_side (16).png -> 29.2079379688
thread_side (17).png -> 33.0981688006
thread_side (18).png -> 28.8179037335
thread_side (19).png -> 35.3535493997
thread_side (20).png -> 35.8937461472
thread_side (21).png -> 30.2755227072
thread_side (22).png -> 27.3405113447
thread_side (23).png -> 38.7977392656
thread_top (1).png -> 31.4092116854
thread_top (2).png -> 29.1893644231
thread_top (3).png -> 30.4757864885
thread_top (4).png -> 28.0258124431
thread_top (5).png -> 27.2737088518
thread_top (6).png -> 26.3021104733
thread_top (7).png -> 32.1796951639
thread_top (8).png -> 42.0070716386
thread_top (9).png -> 34.8902192898
thread_top (10).png -> 31.0723050006
thread_top (11).png -> 29.6655415927
thread_top (12).png -> 32.2702123404
thread_top (13).png -> 32.1024712412
thread_top (14).png -> 32.9560017706
thread_top (15).png -> 24.6491916775
thread_top (16).png -> 31.7828697918
thread_top (17).png -> 34.4904746961
thread_top (18).png -> 33.5345506454
thread_top (19).png -> 31.8662682311
thread_top (20).png -> 36.9315009513
thread_top (21).png -> 39.8830532448
thread_top (22).png -> 26.6750923205
thread_top (23).png -> 33.5917613360
------------------------------------------------------------
