RAPORT STATISTICI SI SCORURI
Obiect: SURUB | Algoritm: PaDiM
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/surub/test/good
------------------------------------------------------------
NR. IMAGINI: 41
MIN SCOR:    19.5239081830
MAX SCOR:    50.8681803913
MEDIE SCOR:  27.1250746270
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
022.png -> 29.0933374608
023.png -> 27.8978764298
024.png -> 34.4582677826
025.png -> 21.4463188830
026.png -> 29.6967616970
027.png -> 22.4684492139
028.png -> 21.7908733286
029.png -> 26.2166081555
030.png -> 21.4826172041
031.png -> 29.6046943455
032.png -> 24.0664588111
033.png -> 21.8300987884
034.png -> 26.9278182885
035.png -> 24.8968209959
036.png -> 24.9727761044
037.png -> 24.2939679619
038.png -> 23.9597074119
039.png -> 30.7264286155
040.png -> 27.1414018340
000.png -> 23.7010146476
001.png -> 35.1297879133
002.png -> 28.0849483165
003.png -> 50.8681803913
004.png -> 25.5505882252
005.png -> 29.0074306110
006.png -> 19.5239081830
007.png -> 25.2733944299
008.png -> 24.3496010390
009.png -> 26.1864061206
010.png -> 22.6843601035
011.png -> 31.9422425435
012.png -> 25.4632992007
013.png -> 25.9196755317
014.png -> 34.0639924633
015.png -> 28.9102357877
016.png -> 27.2968763833
017.png -> 26.6871547070
018.png -> 29.2758097939
019.png -> 35.3996331583
020.png -> 22.8469579600
021.png -> 20.9912788830
------------------------------------------------------------
