RAPORT STATISTICI SI SCORURI
Obiect: SURUB | Algoritm: PatchCore
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/surub/test/Anomaly
------------------------------------------------------------
NR. IMAGINI: 119
MIN SCOR:    -1.9046164272
MAX SCOR:    3.9367675795
MEDIE SCOR:  0.8322760953
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
manipulate_front (1).png -> -0.4292381339
manipulate_front (2).png -> -0.3935067933
manipulate_front (3).png -> 3.6710881174
manipulate_front (4).png -> 1.1258273311
manipulate_front (5).png -> 0.8169591442
manipulate_front (6).png -> 2.1696089793
manipulate_front (7).png -> 0.9563246207
manipulate_front (8).png -> 2.5412474007
manipulate_front (9).png -> 1.4886856976
manipulate_front (10).png -> 2.4651243886
manipulate_front (11).png -> 3.9367675795
manipulate_front (12).png -> 1.4839548528
manipulate_front (13).png -> 3.3034241185
manipulate_front (14).png -> -0.2925158621
manipulate_front (15).png -> 0.9130824762
manipulate_front (16).png -> 2.3148164295
manipulate_front (17).png -> 1.8372938363
manipulate_front (18).png -> -0.1868902415
manipulate_front (19).png -> 1.7499548328
manipulate_front (20).png -> 1.2128201752
manipulate_front (21).png -> -0.1278486991
manipulate_front (22).png -> 0.3454238262
manipulate_front (23).png -> 0.2887818948
manipulate_front (24).png -> 0.7016218298
scratch_head (1).png -> 0.7817171277
scratch_head (2).png -> 0.7121967852
scratch_head (3).png -> -0.3638952087
scratch_head (4).png -> 1.9223293841
scratch_head (5).png -> -0.7161871669
scratch_head (6).png -> -0.4448110325
scratch_head (7).png -> -0.6715988470
scratch_head (8).png -> 1.5294726746
scratch_head (9).png -> -1.5877737538
scratch_head (10).png -> 1.5064552126
scratch_head (11).png -> 0.8270191342
scratch_head (12).png -> 1.0976067944
scratch_head (13).png -> 1.4434905305
scratch_head (14).png -> 1.1933604623
scratch_head (15).png -> -0.3734103181
scratch_head (16).png -> 1.5701442652
scratch_head (17).png -> 1.1636569959
scratch_head (18).png -> 2.6084835186
scratch_head (19).png -> 0.5659358994
scratch_head (20).png -> 1.0497385076
scratch_head (21).png -> 0.6604587784
scratch_head (22).png -> -0.0048210907
scratch_head (23).png -> 1.6048627691
scratch_head (24).png -> 0.8782122605
scratch_neck (1).png -> -0.3324353039
scratch_neck (2).png -> -0.0112827325
scratch_neck (3).png -> -1.8737420019
scratch_neck (4).png -> 1.5742661260
scratch_neck (5).png -> 1.7601302092
scratch_neck (6).png -> 0.1283006961
scratch_neck (7).png -> 2.8514083434
scratch_neck (8).png -> 0.5821541075
scratch_neck (9).png -> 2.3444921177
scratch_neck (10).png -> 0.2964892830
scratch_neck (11).png -> 0.3184255312
scratch_neck (12).png -> 1.8376442692
scratch_neck (13).png -> -0.6762399469
scratch_neck (14).png -> 1.7931756094
scratch_neck (15).png -> 0.4680262141
scratch_neck (16).png -> 0.7572252831
scratch_neck (17).png -> 1.1115941976
scratch_neck (18).png -> -1.1200782408
scratch_neck (19).png -> 1.4425396606
scratch_neck (20).png -> -0.0660870277
scratch_neck (21).png -> 0.4786097167
scratch_neck (22).png -> 1.1793816063
scratch_neck (23).png -> -0.8463815565
scratch_neck (24).png -> -0.9861914845
scratch_neck (25).png -> 1.0404712654
thread_side (1).png -> 2.1673824480
thread_side (2).png -> 2.1655384014
thread_side (3).png -> 1.5714541152
thread_side (4).png -> 1.0342403965
thread_side (5).png -> 1.0426401035
thread_side (6).png -> 0.0418612797
thread_side (7).png -> -0.6275383134
thread_side (8).png -> 0.2383174126
thread_side (9).png -> 0.3987366445
thread_side (10).png -> -0.2102923251
thread_side (11).png -> 1.1163250424
thread_side (12).png -> 0.7442784948
thread_side (13).png -> 1.2437587041
thread_side (14).png -> 0.2556873485
thread_side (15).png -> 0.0288632086
thread_side (16).png -> -0.0152678390
thread_side (17).png -> 0.6346677677
thread_side (18).png -> 0.6746427659
thread_side (19).png -> 0.6196675278
thread_side (20).png -> 0.6361165088
thread_side (21).png -> -0.1248336936
thread_side (22).png -> -1.9046164272
thread_side (23).png -> 1.0949593162
thread_top (1).png -> 0.3039872662
thread_top (2).png -> 1.6013584395
thread_top (3).png -> 0.9771048675
thread_top (4).png -> 0.5260549198
thread_top (5).png -> 0.5081529241
thread_top (6).png -> 2.9416854280
thread_top (7).png -> 0.4146022829
thread_top (8).png -> 1.4669225291
thread_top (9).png -> 2.2172956393
thread_top (10).png -> -0.5307183891
thread_top (11).png -> 1.1006303470
thread_top (12).png -> 0.0952617063
thread_top (13).png -> 1.4882134679
thread_top (14).png -> 2.9887502832
thread_top (15).png -> -0.5752554261
thread_top (16).png -> 0.4163330798
thread_top (17).png -> 1.6546178382
thread_top (18).png -> 0.7751294155
thread_top (19).png -> 1.2171493043
thread_top (20).png -> 2.3251306970
thread_top (21).png -> 1.7883165574
thread_top (22).png -> -1.1626387504
thread_top (23).png -> 0.7788346030
------------------------------------------------------------
