RAPORT STATISTICI SI SCORURI
Obiect: SURUB | Algoritm: PatchCore
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/surub/test/good
------------------------------------------------------------
NR. IMAGINI: 41
MIN SCOR:    -1.5529740521
MAX SCOR:    3.0464157352
MEDIE SCOR:  0.5102142454
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
022.png -> 1.1311201508
023.png -> 0.7715973077
024.png -> 0.7628514414
025.png -> -0.8258619976
026.png -> 0.7593642061
027.png -> 2.2351741303
028.png -> -0.0419776678
029.png -> 0.4895286947
030.png -> 0.2100733713
031.png -> 3.0464157352
032.png -> 1.8850317791
033.png -> 0.0971442150
034.png -> -1.0095102334
035.png -> 0.3683942790
036.png -> -0.3170611264
037.png -> -0.0092121866
038.png -> 0.1385294922
039.png -> 2.6511059951
040.png -> -0.9308700870
000.png -> -1.5529740521
001.png -> 0.6144922314
002.png -> 1.0646190874
003.png -> -0.0042676631
004.png -> 0.5984770180
005.png -> -0.3114819774
006.png -> 0.7350069790
007.png -> -0.0304219274
008.png -> 2.0204826630
009.png -> -0.5704177419
010.png -> 1.1406096188
011.png -> 1.4195563871
012.png -> 0.2532300443
013.png -> 0.3329834563
014.png -> 1.7554720150
015.png -> -0.6705753264
016.png -> -1.1638930440
017.png -> 1.1821722492
018.png -> 2.3545585180
019.png -> 0.9852161083
020.png -> 0.7659198665
021.png -> -1.4118179487
------------------------------------------------------------
