RAPORT STATISTICI SI SCORURI
Obiect: TRANZISTOR | Algoritm: Autoencoder
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/tranzistor/test/good
------------------------------------------------------------
NR. IMAGINI: 60
MIN SCOR:    0.0007712843
MAX SCOR:    0.0028463113
MEDIE SCOR:  0.0012583304
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
017.png -> 0.0015344047
019.png -> 0.0013733208
020.png -> 0.0017451979
021.png -> 0.0011049095
022.png -> 0.0008208030
023.png -> 0.0015902295
024.png -> 0.0009060687
025.png -> 0.0014269545
026.png -> 0.0012050476
027.png -> 0.0009778551
028.png -> 0.0022367218
029.png -> 0.0015391334
037.png -> 0.0028463113
038.png -> 0.0013743900
039.png -> 0.0009844978
040.png -> 0.0010849652
041.png -> 0.0011603632
042.png -> 0.0015658414
043.png -> 0.0010156216
044.png -> 0.0020484852
045.png -> 0.0013467695
046.png -> 0.0010739543
047.png -> 0.0010590925
048.png -> 0.0008751965
049.png -> 0.0010752089
050.png -> 0.0008284780
051.png -> 0.0011091111
052.png -> 0.0012352504
053.png -> 0.0025585033
054.png -> 0.0013571342
055.png -> 0.0012410753
056.png -> 0.0014096778
057.png -> 0.0010399087
058.png -> 0.0011357409
059.png -> 0.0017030940
000.png -> 0.0008338178
001.png -> 0.0022943865
002.png -> 0.0025226688
003.png -> 0.0008074957
004.png -> 0.0011693240
005.png -> 0.0010409772
006.png -> 0.0012824908
007.png -> 0.0009854983
008.png -> 0.0012948539
009.png -> 0.0009059570
010.png -> 0.0009278556
011.png -> 0.0008295843
012.png -> 0.0008519616
013.png -> 0.0010889282
014.png -> 0.0007875258
015.png -> 0.0010956515
016.png -> 0.0009250613
018.png -> 0.0011731078
030.png -> 0.0010375029
031.png -> 0.0007712843
032.png -> 0.0011372645
033.png -> 0.0010546569
034.png -> 0.0009084764
035.png -> 0.0010303305
036.png -> 0.0011538458
------------------------------------------------------------
