RAPORT STATISTICI SI SCORURI
Obiect: TRANZISTOR | Algoritm: PaDiM
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/tranzistor/test/good
------------------------------------------------------------
NR. IMAGINI: 60
MIN SCOR:    22.0669446315
MAX SCOR:    50.4836729311
MEDIE SCOR:  32.8970554945
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
017.png -> 31.3965466425
019.png -> 30.4668723220
020.png -> 46.9049137079
021.png -> 34.2735743154
022.png -> 30.7899034302
023.png -> 30.9826652464
024.png -> 41.4914889445
025.png -> 30.3088002550
026.png -> 27.3246910486
027.png -> 28.5984643852
028.png -> 29.8057624866
029.png -> 32.4841342215
037.png -> 50.4836729311
038.png -> 26.7096581917
039.png -> 38.3461245524
040.png -> 33.2128300585
041.png -> 32.9734056891
042.png -> 32.4580843588
043.png -> 45.9085934467
044.png -> 45.9337484035
045.png -> 45.7020124831
046.png -> 26.3903771471
047.png -> 38.5204088031
048.png -> 22.0669446315
049.png -> 29.2344984482
050.png -> 23.0411110597
051.png -> 23.6835049964
052.png -> 36.0022384942
053.png -> 28.9382571887
054.png -> 40.2255759120
055.png -> 33.0332971973
056.png -> 28.0162163190
057.png -> 41.6991004184
058.png -> 40.9053967265
059.png -> 37.1261929626
000.png -> 24.0782390420
001.png -> 33.3460410227
002.png -> 30.1286848534
003.png -> 30.9230239112
004.png -> 28.1980868303
005.png -> 28.5641955348
006.png -> 27.6019646581
007.png -> 23.2934292478
008.png -> 35.1121261482
009.png -> 34.8577853282
010.png -> 37.1912944917
011.png -> 36.7703786513
012.png -> 32.7155786146
013.png -> 23.3539381817
014.png -> 42.2496423890
015.png -> 35.5669806609
016.png -> 32.5474174368
018.png -> 29.3467559360
030.png -> 25.0781062909
031.png -> 34.1426200901
032.png -> 44.2768265300
033.png -> 24.3741668946
034.png -> 25.2681252961
035.png -> 23.8292703230
036.png -> 35.5695838822
------------------------------------------------------------
