RAPORT STATISTICI SI SCORURI
Obiect: TRANZISTOR | Algoritm: PatchCore
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/tranzistor/test/good
------------------------------------------------------------
NR. IMAGINI: 60
MIN SCOR:    -1.7317609955
MAX SCOR:    1.5268052780
MEDIE SCOR:  -0.4007537047
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
017.png -> -0.2234074580
019.png -> -0.9768358063
020.png -> 0.9227067061
021.png -> -0.5917137935
022.png -> -1.1475610883
023.png -> -0.4567962066
024.png -> -0.3231366651
025.png -> 0.1097143807
026.png -> 0.9267642903
027.png -> -1.7317609955
028.png -> 1.4144800870
029.png -> 0.6769607692
037.png -> 1.3293678902
038.png -> -0.6297832521
039.png -> -0.6245045098
040.png -> 0.0263805318
041.png -> -0.3587793389
042.png -> -0.8324129887
043.png -> -0.1888733394
044.png -> 1.1732557355
045.png -> 0.0199427570
046.png -> -1.1189890947
047.png -> -0.7676168636
048.png -> -1.4491929673
049.png -> -0.4509175631
050.png -> -1.3908326755
051.png -> -0.3110357453
052.png -> 0.6719247053
053.png -> 0.5474015232
054.png -> 0.9457378646
055.png -> 0.0918396545
056.png -> -1.1305852432
057.png -> -1.0759447272
058.png -> 0.2681523659
059.png -> 0.0316670398
000.png -> -1.1863071346
001.png -> 1.5268052780
002.png -> -0.2129548104
003.png -> -0.8921400457
004.png -> -0.5367403225
005.png -> -1.1271809495
006.png -> -0.4850672790
007.png -> -0.9464942012
008.png -> 0.3138477531
009.png -> -0.9443042706
010.png -> -1.1806886424
011.png -> -0.8849528798
012.png -> -0.9746109300
013.png -> -0.6652958503
014.png -> -1.1122552522
015.png -> -0.2270515180
016.png -> -0.6089216392
018.png -> -0.6194820360
030.png -> -1.6726270447
031.png -> -1.6117079510
032.png -> -0.2028341471
033.png -> -1.3514178073
034.png -> -1.1387421524
035.png -> -0.7442284823
036.png -> 0.0645140575
------------------------------------------------------------
